dstport,protocol,tag
18794,PUP,sv_P1
15812,EMCON,sv_P2
53535,BBN-RCC-MON,sv_P3
37102,XNET,sv_P4
54685,NVP-II,sv_P5
40487,BBN-RCC-MON,sv_P6
41301,BBN-RCC-MON,sv_P7
38417,CHAOS,sv_P8
42978,CHAOS,sv_P9
27428,IGP,sv_P10
28277,EGP,sv_P11
8859,CBT,sv_P12
25306,BBN-RCC-MON,sv_P13
32409,EGP,sv_P14
51609,BBN-RCC-MON,sv_P15
51712,BBN-RCC-MON,sv_P16
52792,PUP,sv_P17
46302,PUP,sv_P18
31699,CHAOS,sv_P19
30470,IGP,sv_P20
23887,CHAOS,sv_P21
44078,TCP,sv_P22
26285,EMCON,sv_P23
58512,BBN-RCC-MON,sv_P24
8072,PUP,sv_P25
50811,IGP,sv_P26
3553,PUP,sv_P27
8081,UDP,sv_P28
20965,TCP,sv_P29
27385,NVP-II,sv_P30
11603,TCP,sv_P31
56181,IGP,sv_P32
43115,BBN-RCC-MON,sv_P33
22241,UDP,sv_P34
53110,XNET,sv_P35
19917,EMCON,sv_P36
33195,EMCON,sv_P37
1055,EGP,sv_P38
55406,PUP,sv_P39
56309,XNET,sv_P40
10445,TCP,sv_P41
54293,CBT,sv_P42
38633,IGP,sv_P43
45656,EMCON,sv_P44
8447,TCP,sv_P45
2290,NVP-II,sv_P46
7832,EGP,sv_P47
30504,IGP,sv_P48
29422,UDP,sv_P49
26108,CBT,sv_P50
31874,XNET,sv_P51
1514,CBT,sv_P52
57071,PUP,sv_P53
2543,TCP,sv_P54
1762,XNET,sv_P55
50245,TCP,sv_P56
13849,XNET,sv_P57
40788,IGP,sv_P58
1258,EGP,sv_P59
31622,EGP,sv_P60
30618,TCP,sv_P61
53606,XNET,sv_P62
43883,NVP-II,sv_P63
60246,CHAOS,sv_P64
2519,EMCON,sv_P65
51921,BBN-RCC-MON,sv_P66
26310,XNET,sv_P67
42844,BBN-RCC-MON,sv_P68
28245,NVP-II,sv_P69
43497,EMCON,sv_P70
60483,CHAOS,sv_P71
49920,NVP-II,sv_P72
40560,EMCON,sv_P73
60902,BBN-RCC-MON,sv_P74
13229,PUP,sv_P75
57265,BBN-RCC-MON,sv_P76
49796,BBN-RCC-MON,sv_P77
32283,CHAOS,sv_P78
19354,BBN-RCC-MON,sv_P79
31143,UDP,sv_P80
28461,CHAOS,sv_P81
43843,EMCON,sv_P82
40477,TCP,sv_P83
13948,CHAOS,sv_P84
60862,TCP,sv_P85
63730,EGP,sv_P86
52152,BBN-RCC-MON,sv_P87
24409,IGP,sv_P88
45058,BBN-RCC-MON,sv_P89
18196,XNET,sv_P90
31253,EMCON,sv_P91
36410,BBN-RCC-MON,sv_P92
63149,CBT,sv_P93
23764,EGP,sv_P94
40951,CHAOS,sv_P95
51205,XNET,sv_P96
56496,EGP,sv_P97
9078,IGP,sv_P98
57046,XNET,sv_P99
39336,CHAOS,sv_P100
2606,BBN-RCC-MON,sv_P101
10944,IGP,sv_P102
64384,UDP,sv_P103
26940,IGP,sv_P104
56488,CHAOS,sv_P105
42789,UDP,sv_P106
47313,UDP,sv_P107
1862,IGP,sv_P108
11069,TCP,sv_P109
9761,XNET,sv_P110
41724,TCP,sv_P111
863,IGP,sv_P112
8737,CBT,sv_P113
52359,PUP,sv_P114
39425,UDP,sv_P115
59409,PUP,sv_P116
54284,NVP-II,sv_P117
22736,NVP-II,sv_P118
29939,EMCON,sv_P119
35902,NVP-II,sv_P120
15041,PUP,sv_P121
61841,IGP,sv_P122
51988,CBT,sv_P123
32224,BBN-RCC-MON,sv_P124
31154,NVP-II,sv_P125
64688,CHAOS,sv_P126
52262,CHAOS,sv_P127
33922,XNET,sv_P128
62205,EGP,sv_P129
37460,EMCON,sv_P130
33354,EGP,sv_P131
18986,IGP,sv_P132
51198,EGP,sv_P133
12216,UDP,sv_P134
17817,EGP,sv_P135
1021,XNET,sv_P136
32231,XNET,sv_P137
2572,NVP-II,sv_P138
22731,CBT,sv_P139
42933,CHAOS,sv_P140
50630,PUP,sv_P141
11299,EGP,sv_P142
20060,NVP-II,sv_P143
20881,NVP-II,sv_P144
45579,BBN-RCC-MON,sv_P145
64681,XNET,sv_P146
39709,EMCON,sv_P147
49909,PUP,sv_P148
57096,PUP,sv_P149
25098,EMCON,sv_P150
14342,XNET,sv_P151
41106,BBN-RCC-MON,sv_P152
61574,CBT,sv_P153
25832,UDP,sv_P154
63631,XNET,sv_P155
50935,EGP,sv_P156
57930,XNET,sv_P157
2979,IGP,sv_P158
20653,EMCON,sv_P159
15512,UDP,sv_P160
45799,XNET,sv_P161
20170,UDP,sv_P162
10530,CHAOS,sv_P163
16128,CBT,sv_P164
30038,EGP,sv_P165
2256,CHAOS,sv_P166
42342,CBT,sv_P167
15286,PUP,sv_P168
61135,NVP-II,sv_P169
25287,XNET,sv_P170
20331,PUP,sv_P171
37472,EMCON,sv_P172
40034,CBT,sv_P173
34902,EMCON,sv_P174
38764,CHAOS,sv_P175
64815,IGP,sv_P176
34468,EGP,sv_P177
49999,UDP,sv_P178
19230,CBT,sv_P179
44324,EMCON,sv_P180
43456,BBN-RCC-MON,sv_P181
41287,UDP,sv_P182
47781,EGP,sv_P183
44515,EGP,sv_P184
24601,EGP,sv_P185
774,UDP,sv_P186
49215,EGP,sv_P187
34787,UDP,sv_P188
52445,EGP,sv_P189
1765,EMCON,sv_P190
14681,CHAOS,sv_P191
52820,NVP-II,sv_P192
61527,BBN-RCC-MON,sv_P193
15980,EMCON,sv_P194
52189,XNET,sv_P195
17796,CBT,sv_P196
337,EGP,sv_P197
8393,EMCON,sv_P198
41789,IGP,sv_P199
26174,TCP,sv_P200
57282,CBT,sv_P201
60935,UDP,sv_P202
50404,PUP,sv_P203
1931,CHAOS,sv_P204
15830,BBN-RCC-MON,sv_P205
226,IGP,sv_P206
4845,NVP-II,sv_P207
35588,CHAOS,sv_P208
6928,BBN-RCC-MON,sv_P209
51686,TCP,sv_P210
63834,NVP-II,sv_P211
1481,XNET,sv_P212
2963,IGP,sv_P213
35182,EMCON,sv_P214
23651,EMCON,sv_P215
63718,EGP,sv_P216
27655,TCP,sv_P217
38298,IGP,sv_P218
8403,TCP,sv_P219
60891,EGP,sv_P220
56913,CHAOS,sv_P221
6743,TCP,sv_P222
46414,UDP,sv_P223
4746,EMCON,sv_P224
42317,NVP-II,sv_P225
37196,NVP-II,sv_P226
1977,NVP-II,sv_P227
10902,XNET,sv_P228
9863,NVP-II,sv_P229
34146,NVP-II,sv_P230
23829,TCP,sv_P231
60831,EGP,sv_P232
31313,IGP,sv_P233
47801,CHAOS,sv_P234
27241,NVP-II,sv_P235
10461,TCP,sv_P236
60114,UDP,sv_P237
39999,IGP,sv_P238
62979,BBN-RCC-MON,sv_P239
26897,IGP,sv_P240
46076,BBN-RCC-MON,sv_P241
44634,PUP,sv_P242
21693,PUP,sv_P243
17265,TCP,sv_P244
9952,XNET,sv_P245
24155,EGP,sv_P246
22821,XNET,sv_P247
48304,TCP,sv_P248
2820,IGP,sv_P249
57967,XNET,sv_P250
14878,CBT,sv_P251
43127,EMCON,sv_P252
24093,XNET,sv_P253
13544,UDP,sv_P254
45661,PUP,sv_P255
29789,UDP,sv_P256
50075,NVP-II,sv_P257
45630,XNET,sv_P258
55762,IGP,sv_P259
62607,TCP,sv_P260
37525,UDP,sv_P261
18222,PUP,sv_P262
42947,EMCON,sv_P263
39441,NVP-II,sv_P264
20758,NVP-II,sv_P265
6043,UDP,sv_P266
53632,TCP,sv_P267
40116,XNET,sv_P268
5933,XNET,sv_P269
58710,IGP,sv_P270
31010,TCP,sv_P271
27383,CHAOS,sv_P272
38303,XNET,sv_P273
31833,IGP,sv_P274
62460,UDP,sv_P275
13083,XNET,sv_P276
22041,NVP-II,sv_P277
57193,EMCON,sv_P278
41383,CHAOS,sv_P279
58322,BBN-RCC-MON,sv_P280
45784,EGP,sv_P281
15673,UDP,sv_P282
40758,CBT,sv_P283
48562,CBT,sv_P284
26307,EMCON,sv_P285
36926,PUP,sv_P286
9594,XNET,sv_P287
20595,NVP-II,sv_P288
241,PUP,sv_P289
14222,PUP,sv_P290
11302,CHAOS,sv_P291
20939,EMCON,sv_P292
45905,EGP,sv_P293
58615,CHAOS,sv_P294
34358,IGP,sv_P295
21179,EGP,sv_P296
7887,CHAOS,sv_P297
49992,EMCON,sv_P298
5700,BBN-RCC-MON,sv_P299
42186,XNET,sv_P300
34787,CBT,sv_P301
30969,UDP,sv_P302
58905,CHAOS,sv_P303
5719,EGP,sv_P304
20517,EGP,sv_P305
15358,CHAOS,sv_P306
55792,IGP,sv_P307
57836,NVP-II,sv_P308
51919,EMCON,sv_P309
24072,IGP,sv_P310
4009,IGP,sv_P311
21213,IGP,sv_P312
37387,CBT,sv_P313
26732,BBN-RCC-MON,sv_P314
59238,IGP,sv_P315
45935,UDP,sv_P316
28937,CHAOS,sv_P317
54747,EGP,sv_P318
33217,CBT,sv_P319
35548,NVP-II,sv_P320
65500,TCP,sv_P321
59414,EGP,sv_P322
27720,EGP,sv_P323
41176,CBT,sv_P324
58241,NVP-II,sv_P325
55489,IGP,sv_P326
32369,IGP,sv_P327
40196,EMCON,sv_P328
52389,EGP,sv_P329
7120,IGP,sv_P330
46827,BBN-RCC-MON,sv_P331
2136,EMCON,sv_P332
18576,PUP,sv_P333
36153,CHAOS,sv_P334
63146,CHAOS,sv_P335
29814,IGP,sv_P336
45986,IGP,sv_P337
4755,IGP,sv_P338
26486,PUP,sv_P339
55533,CBT,sv_P340
56962,CHAOS,sv_P341
56716,EGP,sv_P342
19534,BBN-RCC-MON,sv_P343
24305,TCP,sv_P344
52747,TCP,sv_P345
45471,NVP-II,sv_P346
11775,NVP-II,sv_P347
37851,TCP,sv_P348
15046,IGP,sv_P349
3137,PUP,sv_P350
37053,CHAOS,sv_P351
40439,TCP,sv_P352
9976,CBT,sv_P353
51302,CBT,sv_P354
49827,PUP,sv_P355
41283,BBN-RCC-MON,sv_P356
47837,TCP,sv_P357
31824,EMCON,sv_P358
33988,IGP,sv_P359
3224,NVP-II,sv_P360
63810,EMCON,sv_P361
31594,UDP,sv_P362
47272,CHAOS,sv_P363
30963,CHAOS,sv_P364
55141,CHAOS,sv_P365
36594,UDP,sv_P366
16045,EGP,sv_P367
31202,NVP-II,sv_P368
49205,PUP,sv_P369
44418,EGP,sv_P370
39791,XNET,sv_P371
14406,IGP,sv_P372
22094,EMCON,sv_P373
26998,UDP,sv_P374
49257,PUP,sv_P375
64730,UDP,sv_P376
29628,CBT,sv_P377
40734,CBT,sv_P378
22671,CBT,sv_P379
31122,XNET,sv_P380
30175,TCP,sv_P381
20336,XNET,sv_P382
20682,XNET,sv_P383
59581,EGP,sv_P384
60376,IGP,sv_P385
51204,PUP,sv_P386
36223,CHAOS,sv_P387
13316,EMCON,sv_P388
47962,PUP,sv_P389
46071,TCP,sv_P390
62818,XNET,sv_P391
14702,TCP,sv_P392
42042,IGP,sv_P393
19116,CHAOS,sv_P394
15443,BBN-RCC-MON,sv_P395
52005,EMCON,sv_P396
